,Price,Year,Mileage,City,State,Vin,Make,Model,General Model,New Car Price
1449,18894,2016,5554,Gainesville, FL,JM1DKBC74G0123570,Mazda,CX-3FWD,3,21000
1450,22000,2016,15491,Boardman, OH,JM1DKBD7XG0113852,Mazda,CX-3FWD,3,21000
1451,23998,2017,7181,Christianburg, VA,JM1DKFC7XH0157053,Mazda,CX-3AWD,3,21000
1452,22522,2016,10780,Rocklin, CA,JM1DKBD77G0120905,Mazda,CX-3AWD,3,21000
1453,17999,2016,9402,Coconut Creek, FL,JM1DKDC76G0129317,Mazda,CX-3FWD,3,21000
1454,25995,2017,4489,Vacaville, CA,JM1DKDD74H0150702,Mazda,CX-3FWD,3,21000
1455,24223,2016,1685,Schaumburg, IL,JM1DKFD70G0134345,Mazda,CX-3AWD,3,21000
1456,15998,2016,30261,McKinney, TX,JM1DKDB7XG0131511,Mazda,CX-3FWD,3,21000
1457,18900,2016,27121,Plano, TX,JM1DKBC70G0111352,Mazda,CX-3FWD,3,21000
1458,20995,2016,7550,Dunkirk, NY,JM1DKFC74G0139114,Mazda,CX-3AWD,3,21000
1459,25000,2017,6146,Portsmouth, NH,JM1DKFC71H0164148,Mazda,CX-3AWD,3,21000
1460,26495,2016,29018,Parker, CO,JM3KE4DY3G0749619,Mazda,CX-52016.5,6,23800
1461,25900,2016,7403,Gastonia, NC,JM3KE2DY6G0844714,Mazda,CX-52016.5,6,23800
1462,19900,2016,39943,Aurora, CO,JM3KE4CY9G0758844,Mazda,CX-52016.5,6,23800
1463,25997,2016,11535,Gastonia, NC,JM3KE4DY0G0790645,Mazda,CX-52016.5,6,23800
1464,24455,2016,26330,Anaheim, CA,JM3KE4DY5G0763425,Mazda,CX-52016.5,6,23800
1465,25895,2016,18280,Orland Park, IL,JM3KE4DY4G0772651,Mazda,CX-52016.5,6,23800
1466,20599,2016,30216,Inver Grove Heights, MN,JM3KE4CY1G0756599,Mazda,CX-52016.5,6,23800
1467,25990,2016,8030,Denton, TX,JM3KE2DY6G0798513,Mazda,CX-52016.5,6,23800
1468,25900,2016,10145,Countryside, IL,JM3KE4DY9G0749088,Mazda,CX-52016.5,6,23800
1469,29870,2016,12,Allentown, PA,JM3KE4DY5G0893852,Mazda,CX-52016.5,6,23800
1470,23995,2016,6511,Sioux Falls, SD,JM3KE4CY4G0827617,Mazda,CX-52016.5,6,23800
1471,23695,2016,5870,Cincinnati, OH,JM3KE4CY1G0875429,Mazda,CX-52016.5,6,23800
1472,28382,2016,7,Countryside, IL,JM3KE4DY6G0854414,Mazda,CX-52016.5,6,23800
1473,23986,2016,31191,San Antonio, TX,JM3KE2DY9G0608719,Mazda,CX-52016.5,6,23800
