,City,Make,Mileage,Model,Price,State,Vin,Year
5318,Hanover,GMC,167928.0,Yukon,8995.0, PA,1GKEK63U66J163535,2006.0
5319,Sugar Land,GMC,23751.0,Yukon,53991.0, TX,1GKS1GKC5HR304295,2017.0
5320,Costa Mesa,GMC,35085.0,AcadiaFWD,26590.0, CA,1GKKRRKD2EJ297491,2014.0
5321,Philadelphia,GMC,30124.0,Sierra,36230.0, PA,3GTP1VEC5EG547831,2014.0
5322,Plano,GMC,55112.0,TerrainAWD,19991.0, IL,2GKFLWE3XE6167752,2014.0
5323,Portland,GMC,7734.0,Sierra,34819.0, OR,1GTV2VEC5EZ351330,2014.0
5324,St Cloud,GMC,48900.0,Yukon,47995.0, MN,1GKS2HKC1FR119287,2015.0
5325,AUSTIN,GMC,36405.0,TerrainFWD,17998.0, TX,2GKALREK6F6218300,2015.0
5326,Sioux Falls,GMC,74620.0,Sierra,53400.0, SD,1GT424E87FF619959,2015.0
5327,Troy,GMC,21639.0,Sierra,35500.0, MO,1GT120CG7DF192172,2013.0
5328,Baton Rouge,GMC,112051.0,Yukon,23985.0, LA,1GKS1KE00ER190061,2014.0
5329,Bastrop,GMC,140035.0,Yukon4WD,15999.0, TX,1GKFK13027R210065,2007.0
5330,Collierville,GMC,67799.0,TerrainFWD,14999.0, TN,2GKALSEK3E6119004,2014.0
5331,Galveston,GMC,4247.0,Sierra,35935.0, TX,3GTP1UEC5FG295560,2015.0
5332,Florissant,GMC,12396.0,Sierra,50990.0, MO,1GT12UEGXGF221737,2016.0
5333,Prattville,GMC,65367.0,Sierra,33821.0, AL,3GTU2VEC0EG560888,2014.0
5334,Richmond,GMC,20589.0,CanyonExtended,28988.0, VA,1GTH6BE36F1138760,2015.0
5335,Kenosha,GMC,32519.0,TerrainFWD,17280.0, WI,2GKALMEK2E6327869,2014.0
5336,Mt. Juliet,GMC,34000.0,Sierra,48988.0, TN,1GT12ZE80FF120713,2015.0
5337,Amarillo,GMC,26341.0,Sierra,57991.0, TX,1GT12UE87GF136430,2016.0
5338,Naples,GMC,89889.0,Yukon,19995.0, FL,1GKFK668X7J406378,2007.0
5339,Marlton,GMC,49104.0,TerrainFWD,13948.0, NJ,2CTALMEC4B6327229,2011.0
5340,Watertown,GMC,123118.0,AcadiaAWD,10500.0, CT,1GKEV13D99J215125,2009.0
5341,Delaware,GMC,79027.0,TerrainAWD,11500.0, OH,2CTFLCEW6A6319240,2010.0
5342,Devils Lake,GMC,43768.0,AcadiaAWD,33691.0, ND,1GKKVTKD9FJ128286,2015.0
5343,Delaware,GMC,3200.0,AcadiaAWD,38500.0, OH,1GKKNTLS1HZ223023,2017.0
5344,Cullman,GMC,34999.0,Sierra,32497.0, AL,1GTV2UEC1FZ230578,2015.0
5345,Georgetown,GMC,56564.0,AcadiaFWD,24980.0, TX,1GKKRSKD1EJ324185,2014.0
5346,Corpus Christi,GMC,6698.0,AcadiaFWD,34618.0, TX,1GKKNMLS4HZ124685,2017.0
5347,Jacksonville,GMC,18431.0,Sierra,28000.0, FL,1GTR1LECXGZ264907,2016.0
5348,Fairhaven,GMC,36505.0,TerrainAWD,22459.0, MA,2GKFLXEK0F6145189,2015.0
5349,Boyertown,GMC,60683.0,TerrainAWD,25989.0, PA,2GKFLZE33F6228457,2015.0
5350,Talladega,GMC,94509.0,Sierra,23990.0, AL,3GTP1VE05CG221742,2012.0
5351,Philadelphia,GMC,16025.0,Acadia,33230.0, PA,1GKKRSKD9HJ222248,2017.0
5352,Downers Grove,GMC,52618.0,AcadiaFWD,24995.0, IL,1GKKRRKD6EJ193747,2014.0
5353,Alcoa,GMC,42816.0,Sierra,29995.0, TN,3GTU2UEH3EG263667,2014.0
5354,Joplin,GMC,91205.0,AcadiaAWD,21997.0, MO,1GKKVTED5BJ277249,2011.0
5355,Broken Arrow,GMC,63660.0,TerrainFWD,18900.0, OK,2GKALYEKXD6346739,2013.0
5356,Houston,GMC,47101.0,AcadiaFWD,32228.0, TX,1GKKRTKD4FJ217669,2015.0
5357,South Jordan,GMC,31089.0,Yukon4WD,50000.0, UT,1GKS2BKC9HR119926,2017.0
5358,Denver,GMC,53050.0,Yukon,38410.0, CO,1GKS2GKC2FR744985,2015.0
5359,Blair,GMC,85001.0,Sierra,41968.0, NE,1GT125E82CF201958,2012.0
5360,Richardson,GMC,71173.0,TerrainAWD,13928.0, TX,2CTFLTEC3B6371481,2011.0
5361,Fredericksburg,GMC,121999.0,Yukon,18590.0, VA,1GKS2KE33BR176593,2011.0
5362,Escondido,GMC,100651.0,Yukon2WD,15999.0, CA,1GKFC13J27R135888,2007.0
