Price,Year,Mileage,City,State,Vin,Make,Model
9965,2004,36435,Fairfax, VA,1C3AN69L24X012707,Chrysler,Crossfire2dr
24900,2016,36359,Long Island City, NY,2C3CCAKGXGH208417,Chrysler,300300C
23245,2016,36269,Raynham, MA,2C3CCAKG0GH198495,Chrysler,300300C
11299,2016,36234,West Palm Beach, FL,1C3CCCABXGN162869,Chrysler,200Limited
13995,2015,35991,Montgomeryville, PA,1C3CCCAB4FN547312,Chrysler,200Limited
11450,2016,35940,Miramar, FL,1C3CCCAB9GN148333,Chrysler,200Limited
26497,2017,35909,Buffalo, MN,2C4RC1BG5HR668392,Chrysler,PacificaTouring-L
12845,2016,35793,Fairfield, CA,1C3CCCAB5GN170975,Chrysler,200Limited
12899,2015,35769,Akron, OH,1C3CCCAB4FN557922,Chrysler,200Limited
13000,2014,35754,Grove City, OH,1C3CCBCG3EN134489,Chrysler,200Sedan
23980,2015,35697,Fort Wayne, IN,2C4RC1CG5FR574413,Chrysler,Town
23497,2014,35655,Newport News, VA,2C4RC1CG7ER418565,Chrysler,Town
12845,2016,35625,Tampa, FL,1C3CCCAB9GN176617,Chrysler,200Limited
18213,2014,35529,Tifton, GA,2C4RC1BG5ER192849,Chrysler,Town
19538,2016,35357,Washington, NC,2C4RC1BG9GR157539,Chrysler,Town
24999,2017,35262,Las Cruces, NM,2C4RC1BG3HR527675,Chrysler,PacificaTouring-L
15350,2015,35214,Tinley Park, IL,1C3CCCBB5FN619911,Chrysler,200S
12845,2016,35169,Roselle, IL,1C3CCCAB5GN179658,Chrysler,200Limited
19999,2015,35104,Houston, TX,1C3CCCCB3FN538663,Chrysler,200C
20500,2015,34927,Austin, TX,2C4RC1CGXFR697155,Chrysler,Town
16588,2015,34900,Gaithersburg, MD,1C3CCCDG3FN512025,Chrysler,200S
25368,2017,34820,Yulee, FL,2C4RC1BG5HR540055,Chrysler,PacificaTouring-L
14500,2015,34753,Cedar Rapids, IA,1C3CCCAB8FN531808,Chrysler,200Limited
20333,2016,34355,Marlow Heights, MD,2C3CCAEG6GH189814,Chrysler,300300C
19891,2016,34334,Little Ferry, NJ,2C4RC1BG0GR281800,Chrysler,Town
18000,2011,34306,Merriam, KS,2C3CA6CT8BH523885,Chrysler,3004dr
12845,2016,34272,Victorville, CA,1C3CCCABXGN163827,Chrysler,200Limited
12845,2016,34243,Saint Paul, MN,1C3CCCAB4GN179666,Chrysler,200Limited
14711,2016,34236,Elkhart, IN,1C3CCCAB7GN149108,Chrysler,200Limited
10979,2016,34227,Phoenix, AZ,1C3CCCAB5GN159264,Chrysler,200Limited
19995,2015,34131,Houston, TX,2C3CCAAG6FH766524,Chrysler,300Limited
14900,2016,34092,El Cajon, CA,1C3CCCAB7GN102208,Chrysler,200Limited
14980,2015,34090,Austin, TX,1C3CCCFB7FN563853,Chrysler,200LX
31988,2017,34036,Raleigh, NC,2C3CCABT3HH513143,Chrysler,300300S
19500,2015,34003,Silver City, NM,2C3CCAAG4FH845531,Chrysler,300Limited
16485,2015,33972,Provo, UT,1C3CCCCB2FN619055,Chrysler,200C
20949,2016,33827,Newport News, VA,2C3CCAEG0GH212181,Chrysler,300300C
19000,2014,33800,Framingham, MA,2C4RC1BG9ER132427,Chrysler,Town
12991,2015,33781,Amarillo, TX,1C3CCCABXFN502925,Chrysler,200Limited
30179,2016,33731,Marysville, WA,2C4RC1BG5GR301359,Chrysler,Town
16050,2015,33694,Middlesboro, KY,1C3CCCCB4FN590108,Chrysler,200C
12977,2015,33672,Elmhurst, IL,1C3CCCAB3FN665206,Chrysler,200Limited
12845,2016,33622,Roselle, IL,1C3CCCAB7GN177443,Chrysler,200Limited
25995,2016,33607,Wheatland, WY,2C3CCAKG6GH191017,Chrysler,300300C
25342,2017,33502,Roseville, CA,2C4RC1BG0HR533823,Chrysler,PacificaTouring-L
10497,2013,33471,Manchester, NH,1C3CCBBB1DN679577,Chrysler,200Sedan
16293,2015,33465,Florence, KY,1C3CCCEG6FN553764,Chrysler,200C
13985,2015,33451,Pueblo, CO,1C3CCCAB3FN617074,Chrysler,200Limited
20980,2014,33430,Dublin, OH,2C3CCAKT2EH297703,Chrysler,300300C
25632,2017,33177,West Valley, UT,2C4RC1BG3HR583518,Chrysler,PacificaTouring-L
18877,2014,33145,Manassas, VA,2C3CCARG6EH121844,Chrysler,300300
18000,2015,33105,Stockton, CA,2C4RC1BG5FR552932,Chrysler,Town
19500,2015,33053,Saco, ME,2C4RC1BGXFR741172,Chrysler,Town
18995,2014,32973,Corpus Christi, TX,2C3CCAAG0EH166659,Chrysler,300300
27000,2017,32966,Modesto, CA,2C4RC1BG8HR530412,Chrysler,PacificaTouring-L
12999,2015,32941,Salt Lake City, UT,1C3CCCAB4FN617035,Chrysler,200Limited
13900,2015,32835,Gettysburg, PA,1C3CCCAB0FN581960,Chrysler,200Limited
24299,2017,32774,North Huntingdon, PA,2C4RC1BG5HR540072,Chrysler,PacificaTouring-L
28556,2017,32752,Sioux City, IA,2C4RC1BGXHR592460,Chrysler,PacificaTouring-L
24900,2016,32684,New Orleans, LA,2C3CCABG8GH238354,Chrysler,300300S
13900,2015,32639,Lowell, MA,1C3CCCAB4FN671984,Chrysler,200Limited
12845,2016,32608,Woburn, MA,1C3CCCABXGN163911,Chrysler,200Limited
13999,2015,32505,Pensacola, FL,1C3CCCAB0FN687860,Chrysler,200Limited
19687,2014,32495,Springfield, MO,2C3CCAGGXEH229158,Chrysler,300300S
11000,2013,32449,Chicago, IL,1C3CCBCG2DN550760,Chrysler,200Sedan
30995,2017,32402,Tahlequah, OK,2C4RC1BG1HR529974,Chrysler,PacificaTouring-L
14888,2015,32377,Long Island City, NY,2C4RC1BG3FR539628,Chrysler,Town
11673,2015,32297,Tracy, CA,1C3CCCAB8FN617071,Chrysler,200Limited
13988,2016,32108,Daphne, AL,1C3CCCAB6GN153294,Chrysler,200Limited
21998,2016,31997,Bedford, TX,2C3CCAEG0GH252499,Chrysler,300300C
28995,2017,31972,Olympia, WA,2C4RC1BGXHR572452,Chrysler,PacificaTouring-L
21426,2014,31951,Warren, MI,2C4RC1CG7ER421319,Chrysler,Town
13999,2016,31912,Sacramento, CA,1C3CCCAB0GN106634,Chrysler,200Limited
12750,2015,31899,Macon, GA,1C3CCCAB7FN760030,Chrysler,200Limited
18899,2013,31890,Ocala, FL,2C3CCASG9DH567575,Chrysler,300Luxury
28995,2017,31862,El Paso, TX,2C4RC1BG1HR569116,Chrysler,PacificaTouring-L
21597,2016,31851,Tallahassee, FL,2C4RC1BG5GR229725,Chrysler,Town
12845,2016,31793,Tucson, AZ,1C3CCCAB6GN170810,Chrysler,200Limited
13995,2015,31636,Huntington Beach, CA,1C3CCCBB4FN592684,Chrysler,200S
21991,2014,31439,San Antonio, TX,2C3CCAGG1EH381846,Chrysler,300300S
23998,2015,31369,Natick, MA,2C4RC1CG6FR573724,Chrysler,Town
27999,2016,31178,Fruitland Park, FL,2C4RC1BG6GR237929,Chrysler,Town
21498,2016,30955,Vacaville, CA,2C3CCAEG2GH238412,Chrysler,300300C
22387,2014,30947,Plainfield, IN,2C4RC1CG2ER425889,Chrysler,Town
21500,2016,30834,Elkhart, IN,2C4RC1BG0GR252636,Chrysler,Town
20888,2014,30788,Batavia, OH,2C3CCAGG1EH311974,Chrysler,300300S
22577,2016,30688,Port Richey, FL,2C3CCAGG5GH296009,Chrysler,300300S
20777,2014,30685,Elmhurst, IL,2C3CCARG6EH142239,Chrysler,300300
20997,2015,30650,Capitol Heights, MD,2C3CCAEG3FH749710,Chrysler,300300C
26977,2017,30542,Lewisville, TX,2C4RC1BG3HR576410,Chrysler,PacificaTouring-L
25120,2017,30495,Hillsboro, OR,2C4RC1BG8HR540468,Chrysler,PacificaTouring-L
15975,2012,30378,Seattle, WA,2C3CCACG1CH142431,Chrysler,3004dr
13500,2015,30377,Virginia Beach, VA,1C3CCCAB3FN588546,Chrysler,200Limited
13988,2016,30275,Boise, ID,1C3CCCAB3GN159229,Chrysler,200Limited
22990,2016,30161,Temecula, CA,2C3CCAEGXGH273442,Chrysler,300300C
12495,2014,30066,Waltham, MA,1C3CCBCG3EN158937,Chrysler,200Sedan
19000,2014,30030,Framingham, MA,2C4RC1BG1ER408793,Chrysler,Town
19995,2016,29906,Kinston, NC,2C3CCAEG9GH128263,Chrysler,300300C
26599,2017,29873,Oak Park Heights, MN,2C4RC1BG6HR583139,Chrysler,PacificaTouring-L
24993,2017,29871,Sarasota, FL,2C4RC1BG8HR532872,Chrysler,PacificaTouring-L
23913,2016,29704,Pikeville, KY,2C3CCAKG7GH208391,Chrysler,300300C
21500,2016,29703,Grand Rapids, MI,2C4RC1BG6GR228776,Chrysler,Town
19995,2015,29500,Wylie, TX,2C4RC1BG1FR755123,Chrysler,Town
19399,2014,29431,West Bend, WI,2C3CCARG1EH384128,Chrysler,300300
26229,2017,29426,Albuquerque, NM,2C4RC1BGXHR540617,Chrysler,PacificaTouring-L
29991,2017,29342,Devils Lake, ND,2C4RC1BG7HR569489,Chrysler,PacificaTouring-L
25300,2016,29289,Mesquite, TX,2C3CCAGG1GH234218,Chrysler,300300S
25000,2016,29236,Long Beach, CA,2C3CCAEGXGH320436,Chrysler,300300C
10900,2005,29172,Fredericksburg, VA,2C3JA63H95H657148,Chrysler,3004dr
15781,2014,29118,Orlando, FL,2C3CCAAG6EH296736,Chrysler,300300
